Period,Financial,Value,Line Item Description,Level 1 Item,Level 2 Item,Highlight,Expense
25-Jan,Sales Revenue,1071,Sales Revenue,Sales,Sales Revenue,1,1
25-Jan,COGS,428,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,0,-1
25-Jan,Gross Profit,643,Gross Profit,Gross Profit,Gross Profit,1,1
25-Jan,Operating Expenses,309,Operating Expenses,Operating Expenses,Operating Expenses,1,-1
25-Jan,Operating Profit,334,Operating Profit,Operating Profit,Operating Profit,1,1
25-Jan,Other Income,41,Other Income,Other Income,Other Income,0,1
25-Jan,Other Expenses,17,Other Expenses,Other Expenses,Other Expenses,0,-1
25-Jan,Net Profit,358,Net Profit,Net Profit,Net Profit,1,1
25-Feb,Sales Revenue,1126,Sales Revenue,Sales,Sales Revenue,1,1
25-Feb,COGS,450,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,0,-1
25-Feb,Gross Profit,676,Gross Profit,Gross Profit,Gross Profit,1,1
25-Feb,Operating Expenses,333,Operating Expenses,Operating Expenses,Operating Expenses,1,-1
25-Feb,Operating Profit,343,Operating Profit,Operating Profit,Operating Profit,1,1
25-Feb,Other Income,52,Other Income,Other Income,Other Income,0,1
25-Feb,Other Expenses,30,Other Expenses,Other Expenses,Other Expenses,0,-1
25-Feb,Net Profit,365,Net Profit,Net Profit,Net Profit,1,1
25-Mar,Sales Revenue,1347,Sales Revenue,Sales,Sales Revenue,1,1
25-Mar,COGS,538,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,0,-1
25-Mar,Gross Profit,809,Gross Profit,Gross Profit,Gross Profit,1,1
25-Mar,Operating Expenses,392,Operating Expenses,Operating Expenses,Operating Expenses,1,-1
25-Mar,Operating Profit,417,Operating Profit,Operating Profit,Operating Profit,1,1
25-Mar,Other Income,21,Other Income,Other Income,Other Income,0,1
25-Mar,Other Expenses,24,Other Expenses,Other Expenses,Other Expenses,0,-1
25-Mar,Net Profit,414,Net Profit,Net Profit,Net Profit,1,1
25-Apr,Sales Revenue,1334,Sales Revenue,Sales,Sales Revenue,1,1
25-Apr,COGS,533,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,0,-1
25-Apr,Gross Profit,801,Gross Profit,Gross Profit,Gross Profit,1,1
25-Apr,Operating Expenses,374,Operating Expenses,Operating Expenses,Operating Expenses,1,-1
25-Apr,Operating Profit,427,Operating Profit,Operating Profit,Operating Profit,1,1
25-Apr,Other Income,56,Other Income,Other Income,Other Income,0,1
25-Apr,Other Expenses,36,Other Expenses,Other Expenses,Other Expenses,0,-1
25-Apr,Net Profit,447,Net Profit,Net Profit,Net Profit,1,1
25-May,Sales Revenue,1447,Sales Revenue,Sales,Sales Revenue,1,1
25-May,COGS,578,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,0,-1
25-May,Gross Profit,869,Gross Profit,Gross Profit,Gross Profit,1,1
25-May,Operating Expenses,387,Operating Expenses,Operating Expenses,Operating Expenses,1,-1
25-May,Operating Profit,482,Operating Profit,Operating Profit,Operating Profit,1,1
25-May,Other Income,31,Other Income,Other Income,Other Income,0,1
25-May,Other Expenses,15,Other Expenses,Other Expenses,Other Expenses,0,-1
25-May,Net Profit,498,Net Profit,Net Profit,Net Profit,1,1
25-Jun,Sales Revenue,1466,Sales Revenue,Sales,Sales Revenue,1,1
25-Jun,COGS,586,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,0,-1
25-Jun,Gross Profit,880,Gross Profit,Gross Profit,Gross Profit,1,1
25-Jun,Operating Expenses,432,Operating Expenses,Operating Expenses,Operating Expenses,1,-1
25-Jun,Operating Profit,448,Operating Profit,Operating Profit,Operating Profit,1,1
25-Jun,Other Income,21,Other Income,Other Income,Other Income,0,1
25-Jun,Other Expenses,27,Other Expenses,Other Expenses,Other Expenses,0,-1
25-Jun,Net Profit,442,Net Profit,Net Profit,Net Profit,1,1
25-Jul,Sales Revenue,1306,Sales Revenue,Sales,Sales Revenue,1,1
25-Jul,COGS,522,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,0,-1
25-Jul,Gross Profit,784,Gross Profit,Gross Profit,Gross Profit,1,1
25-Jul,Operating Expenses,341,Operating Expenses,Operating Expenses,Operating Expenses,1,-1
25-Jul,Operating Profit,443,Operating Profit,Operating Profit,Operating Profit,1,1
25-Jul,Other Income,31,Other Income,Other Income,Other Income,0,1
25-Jul,Other Expenses,34,Other Expenses,Other Expenses,Other Expenses,0,-1
25-Jul,Net Profit,440,Net Profit,Net Profit,Net Profit,1,1
25-Aug,Sales Revenue,1349,Sales Revenue,Sales,Sales Revenue,1,1
25-Aug,COGS,539,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,0,-1
25-Aug,Gross Profit,810,Gross Profit,Gross Profit,Gross Profit,1,1
25-Aug,Operating Expenses,397,Operating Expenses,Operating Expenses,Operating Expenses,1,-1
25-Aug,Operating Profit,413,Operating Profit,Operating Profit,Operating Profit,1,1
25-Aug,Other Income,43,Other Income,Other Income,Other Income,0,1
25-Aug,Other Expenses,19,Other Expenses,Other Expenses,Other Expenses,0,-1
25-Aug,Net Profit,437,Net Profit,Net Profit,Net Profit,1,1
25-Sep,Sales Revenue,1362,Sales Revenue,Sales,Sales Revenue,1,1
25-Sep,COGS,544,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,0,-1
25-Sep,Gross Profit,818,Gross Profit,Gross Profit,Gross Profit,1,1
25-Sep,Operating Expenses,341,Operating Expenses,Operating Expenses,Operating Expenses,1,-1
25-Sep,Operating Profit,477,Operating Profit,Operating Profit,Operating Profit,1,1
25-Sep,Other Income,42,Other Income,Other Income,Other Income,0,1
25-Sep,Other Expenses,32,Other Expenses,Other Expenses,Other Expenses,0,-1
25-Sep,Net Profit,487,Net Profit,Net Profit,Net Profit,1,1
25-Oct,Sales Revenue,1084,Sales Revenue,Sales,Sales Revenue,1,1
25-Oct,COGS,433,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,0,-1
